RU	164151	Григорьево	Архангельская Область	06	КАРГОПОЛЬСКИЙ РАЙОН				58.6667	30.6833	4
PL	43-419	Rudnik	Silesia	83	Powiat cieszyński	2403	Hażlach	240308	49.8365	18.6874	6
KR	51140	창원시 의창구	경상남도	20	창원시 의창구				35.2436	128.6917	6
MX	42672	El Calero	Hidalgo	13	Francisco I. Madero	023			20.2394	-99.0269	3
LT	90012	Kentrakalnio k.	Telšių apskritis	63	Rietavo sav.	74			55.7194	21.9311	1
SG	807838	Neram Crescent							1.3852	103.8674	
PT	2580-298	Alenquer	Lisboa	14	Alenquer	1101	Alenquer		39.0532	-9.0093	4
AT	9170	Glainach	Kärnten	02	Politischer Bezirk Klagenfurt Land	204	Ferlach	20405	46.5333	14.3333	4
FR	23150	Lépinas	Nouvelle-Aquitaine	75	Creuse	23	Guéret	232	46.0764	1.9277	5
SG	329859	Balestier Road							1.3267	103.8456	
SG	787365	Thong Soon Green							1.399	103.8197	
PT	3515-196	Viseu	Viseu	22	Viseu	1823	Viseu		40.661	-7.9097	4
PT	2050-018	Aveiras de Baixo	Lisboa	14	Azambuja	1103	Aveiras De Baixo		39.111	-8.8694	4
FR	32330	Lauraët	Occitanie	76	Gers	32	Condom	322	43.9343	0.249	5
JP	390-1293	キッセイコムテック　株式会社	Nagano Ken	26	Matsumoto Shi	1857516			36.1272	137.7561	
JP	675-1315	Hiyoshicho	Hyogo Ken	13	Ono Shi	7370812			34.8448	134.9827	
MX	95609	La Sabana Carame	Veracruz de Ignacio de la Llave	30	Playa Vicente	130			17.7799	-95.8642	4
IN	272163	Gaur Rs	Uttar Pradesh	36	Basti	185	Harraiya		26.7405	82.679	3
PT	2745-074	Queluz	Lisboa	14	Sintra	1111	Queluz		38.7566	-9.2545	4
MX	73591	Jiliapan	Puebla	21	Acateno	002			20.076	-97.1902	4
DZ	19018	Khettatla	Setif	19					35.936	5.5196	3
BG	7841	Садина / Sadina	Търговище / Turgovishhe	TGV	Попово / Popovo	TGV24	Садина / Sadina	TGV24-29	43.4833	26.3	4
JP	310-8677	Minamimachi	Ibaraki Ken	14	Mito Shi	2111899			36.3705	140.4356	
CO	527508	Santa Barbara	Nariño	20	Santa Bárbara	52696			2.4501	-77.9794	4
MX	41115	Colonia Costeña Uno	Guerrero	12	Chilapa de Álvarez	028			17.5075	-99.1868	3
MX	61025	Cerro Colorado	Michoacán de Ocampo	16	Contepec	017			19.9897	-100.1936	4
SE	402 58	Göteborg	Västra Götaland	O	Göteborg	1480			57.7072	11.9668	4
MX	62864	Molotla	Morelos	17	Ocuituco	016			18.9197	-98.7617	1
LT	60040	Paberžės k.	Kaunas County	57	Raseinių r. sav.	72			55.4289	22.7775	3
JP	762-0044	Hommachi	Kagawa Ken	17	Sakaide Shi	1853186			34.3159	133.8519	
LT	33031	Ažušilių k.	Utena County	64	Molėtų r. sav.	62			55.2167	25.2833	3
PT	4150-075	Porto	Porto	17	Porto	1312	Porto		41.1496	-8.611	4
PT	2530-312	Sobral	Lisboa	14	Lourinhã	1108	Lourinhã		39.2476	-9.2639	4
LU	L-3281	Bettembourg	Esch-sur-Alzette	ES	Bettembourg	01			49.5152	6.1133	6
MX	87560	Ignacio Zaragoza	Tamaulipas	28	Matamoros	022			25.8675	-97.6203	4
SG	417894	Kaki Bukit Avenue 6							1.3411	103.914	
SG	349699	Cedar Avenue							1.3348	103.8758	
PE	21530	Yacari Tisñachuro	Puno	21	Chucuito	2104	Juli	210401	-16.25	-69.4367	3
SG	597895	Lorong Pisang Emas							1.3447	103.772	
IN	262202	Behtim	Uttar Pradesh	36	Pilibhit	151	Bisalpur		28.104	79.8896	3
PE	08410	España	Cuzco	08	Chumbivilcas	0807	Llusco	080706	-14.4318	-72.1561	3
DZ	25005	Ain Laghda	Constantine	25					36.2633	6.6936	3
US	77237	Houston	Texas	TX	Harris	201			29.834	-95.4342	4
SG	089139	Keong Saik Road							1.2803	103.8417	
PL	22-171	Wólka Kańska-Kolonia	Lublin	75	Chełm County	0603	Rejowiec Fabryczny	060308	51.1405	23.0902	6
MX	79980	Tianguispicula	San Luis Potosí	24	Tamazunchale	037			21.1906	-98.7061	4
RU	396005	Ямное	Воронежская Область	86	РАМОНСКИЙ РАЙОН				51.7939	39.1453	4
MX	38457	Rancho Viejo de Torres	Guanajuato	11	Valle de Santiago	042			20.2653	-101.1758	4
EE	61412	Vorbuse	Tartu maakond	18	Tartu linn	0793	Vorbuse küla	9483	58.4251	26.6465	6
IN	460330	Bijadehi	Madhya Pradesh	35	Betul	447	Betul		22.1688	77.6744	4
MX	63729	Lo de Marcos	Nayarit	18	Bahía de Banderas	020			20.9551	-105.3522	4
PT	2590-290	Tojeira	Lisboa	14	Sobral de Monte Agraço	1112	Sobral De Monte Agraço		39.0141	-9.1699	4
IT	48034	Fusignano	Emilia-Romagna	05	Ravenna	RA	Fusignano	039011	44.4666	11.9564	4
AR	4212	TUSCA POZO (SAN VICENTE, LORETO, DPTO.LORETO)	Santiago Del Estero	G					-28.7667	-64.0833	3
JP	225-8550	Ichigaocho	Kanagawa Ken	19	Yokohama Shi 	1848350			35.5589	139.524	
SG	804691	Belgravia Drive							1.3804	103.8656	
DE	99130	Marlishausen	Thüringen	TH		00	Ilm-Kreis	16070	50.8222	11.0172	4
MX	22920	Lomas Verdes	Baja California	02	Ensenada	001			30.7769	-116.0435	3
PE	06785	La Balsa	Cajamarca	06	Cutervo	0606	Choros	060603	-5.9247	-78.7735	3
PL	11-036	Łajsy	Warmia-Masuria	85	Powiat olsztyński	2814	Gmina Gietrzwałd	281405	53.7275	20.2716	6
ES	27001	Lugo	Galicia	GA	Lugo	LU	Lugo	27028	43.0099	-7.556	4
SG	369738	Happy Avenue North							1.3303	103.8801	
TR	19400	Dereseki	Çorum	19	İskilip	8632028			40.9418	34.3572	4
CZ	736 01	Životice	Moravskoslezský kraj	85	Karviná	3803			49.7833	18.4833	4
RU	143822	Микулино	Московская Область	47	ЛОТОШИНСКИЙ РАЙОН				56.4505	35.6087	4
SE	521 72	Slutarp	Västra Götaland	O	Falköping	1499			58.0833	13.5167	4
EE	49505	Metsaküla	Jõgeva maakond	05	Mustvee vald	0486	Metsaküla	5052	58.7744	26.9344	6
PE	21250	Maychapata	Puno	21	Carabaya	2103	Macusani	210301	-14.0127	-70.5407	3
JP	444-0853	Misakicho	Aichi Ken	01	Okazaki Shi	1854373			34.9405	137.1612	
JP	260-8540	Shimmachi	Chiba Ken	04	Chiba Shi 	2113012			35.5843	140.1294	
MX	51354	Del Calvario	México	15	Zinacantepec	118			19.2792	-99.7568	3
IT	71012	Rodi Garganico	Puglia	13	Foggia	FG			41.9274	15.8822	4
ES	24888	Espinosa De Almanza	Castilla - Leon	CL	León	LE	Cebanico	24052	42.6953	-5.0034	4
PT	4635-306	Santo Isidoro	Porto	17	Marco de Canaveses	1307	Santo Isidoro Mcn		41.2108	-8.1422	4
PT	2450-426	Nazaré	Leiria	13	Nazaré	1011	Nazaré		39.6029	-9.0684	4
PT	4750-149	Barcelos	Braga	04	Barcelos	0302	Barcelos		41.5388	-8.6151	4
FR	76125 CEDEX	Le Grand-Quevilly	Normandie	28	Seine-Maritime	76	Rouen	763	49.4008	1.0458	5
IN	488220	Barkola	Madhya Pradesh	35	Panna	426	Ajaigarh		24.9529	80.1914	4
CH	6600	Locarno	Ticino	TI	Locarno District	2104	Locarno	5113	46.1608	8.803	4
PL	19-206	Ciszewo	Podlasie	81	Powiat grajewski	2004	Gmina Rajgród	200404	53.6403	22.6962	6
PE	12830	Carpapata	Junín	12	Tarma	1207	Palca	120706	-11.2608	-75.5537	4
SG	520864	Tampines Street 83							1.3551	103.9357	
MX	58488	Buenavista (El Pedregal)	Michoacán de Ocampo	16	Madero	049			19.415	-101.3	4
KR	04598	중구	서울특별시	11	중구	11020			37.5548	127.0093	6
PE	08850	Puerto Cocos	Cuzco	08	La Convención	0809	Pichari	080910	-12.3681	-73.8103	3
GT	17001	FLORES	DEPTO DE PETEN	12					16.9333	-89.8833	4
SG	545724	Teck Chye Terrace							1.3531	103.8765	
PT	8900-069	Manta Rota	Faro	09	Vila Real de Santo António	0816	Vila Nova De Cacela		37.1743	-7.5177	4
IN	621218	Melavalady	Tamil Nadu	25	Tiruchirappalli	614	Lalgudi		10.8629	78.7713	3
SG	809598	Cactus Road							1.3904	103.8506	
PT	4580-391	Duas Igrejas	Porto	17	Paredes	1310	Duas Igrejas Prd		41.2412	-8.3843	4
PT	3880-320	Ovar	Aveiro	02	Ovar	0115	Ovar		40.8586	-8.6251	4
SG	588398	Rifle Range Road							1.3556	103.7962	
PT	4000-452	Porto	Porto	17	Porto	1312	Porto		41.1496	-8.611	4
PT	3105-025	Alto dos Mendes	Leiria	13	Pombal	1015	Carnide		39.9995	-8.6871	1
MX	37120	La Medalla	Guanajuato	11	León	020	León de los Aldama	07	21.0578	-101.6697	3
AR	3272	ESTANCIA LOS VASCOS	Entre Rios	E					-32.4222	-58.6722	3
SG	545169	Limbok Terrace							1.3661	103.8766	
RO	550195	Sibiu	Sibiu	33					45.8	24.15	4
SG	279470	Greenleaf Lane							1.3215	103.7874	
